id,org_question_number,question_text,institution,statement,scale_1,scale_2,scale_3,scale_4,scale_5,reverse_coded,variation
trust_19,Q82,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The European Union,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_20,Q83,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The United Nations,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_21,Q84,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The International Monetary Fund (IMF),,A great deal,Quite a lot,Not very much,None at all,,,0
trust_22,Q85,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",International Criminal Court (ICC),,A great deal,Quite a lot,Not very much,None at all,,,0
trust_23,Q86,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The North Atlantic Treaty Organization (NATO),,A great deal,Quite a lot,Not very much,None at all,,,0
trust_24,Q87,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The World Bank,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_25,Q88,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The World Health Organization (WHO),,A great deal,Quite a lot,Not very much,None at all,,,0
trust_26,Q89,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The World Trade Organization (WTO),,A great deal,Quite a lot,Not very much,None at all,,,0
trust_27,Q292,Do you agree or disagree with the following statements?,,A. I am unsure whether to believe most politicians,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,1,0
trust_28,Q292,Do you agree or disagree with the following statements?,,B. I am usually cautious about trusting politicians,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,1,0
trust_29,Q292,Do you agree or disagree with the following statements?,,"C. In general, politicians are open about their decisions",Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,0,0
trust_30,Q292,Do you agree or disagree with the following statements?,,"D. In general, the government usually does the right thing",Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,0,0
trust_31,Q292,Do you agree or disagree with the following statements?,,E. Information provided by the government is generally unreliable,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,1,0
trust_32,Q292,Do you agree or disagree with the following statements?,,F. It is best to be cautious about trusting the government,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,1,0
trust_33,Q292,Do you agree or disagree with the following statements?,,G. Most politicians are honest and truthful,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,0,0
trust_34,Q292,Do you agree or disagree with the following statements?,,H. People in the government often show poor judgement,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,1,0
trust_35,Q292,Do you agree or disagree with the following statements?,,I. Politicians are often incompetent and ineffective,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,1,0
trust_36,Q292,Do you agree or disagree with the following statements?,,K. Politicians often put country above their personal interests,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,0,0
trust_37,Q292,Do you agree or disagree with the following statements?,,O. The government usually has good intentions,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,0,0
