A_STUDY,A_WAVE,A_YEAR,B_COUNTRY,B_COUNTRY_ALPHA,S025,W_WEIGHT,S018,H_URBRURAL,H_SETTLEMENT,G_TOWNSIZE,G_TOWNSIZE2,I_PSU,E_RESPINT,E1_LITERACY,F_INTPRIVACY,Q260,Q261,Q262,X003R,X003R2,Q263,Q264,Q265,Q269,Q270,Q271,Q273,Q274,Q275,Q275R,Q279,Q281,Q284,Q285,Q286,Q287P,Q288,Q288R,Q289,Q290,Q240,Q241,Q199P,Q209P,Q216P,Q57P,Q58P,Q59P,Q60P,Q61P,Q62P,Q63P,Q64P,Q65P,Q66P,Q67P,Q68P,Q69P,Q70P,Q71P,Q72P,Q73P,Q74P,Q75P,Q76P,Q77P,Q78P,Q79P,Q80P,Q81P,Q82P,Q83P,Q84P,Q85P,Q86P,Q87P,Q88P,Q89P,Q292A,Q292B,Q292C,Q292D,Q292E,Q292F,Q292G,Q292H,Q292I,Q292K,Q292O,Q292A_REVERSE_FLAG,Q292B_REVERSE_FLAG,Q292I_REVERSE_FLAG
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6102,1,,1,2,1991,28,2,1,1,1,1,1,4,1,1,2,7,3,1,3,1,2,2,4,4,2,3,196001,,1,1,3,1,1,4,3,3,2,3,3,1,2,1,1,1,2,2,2,1,1,2,2,1,1,1,2,2,2,1,1,1,2,2,1,2,2,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,7,4,5107,1,,1,1,1967,52,4,3,1,1,1,1,2,1,1,5,3,2,1,8,2,1,2,3,5,2,3,196001,10,10,2,2,2,1,4,2,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6102,1,,2,1,1981,38,3,2,1,1,1,1,4,1,1,2,3,2,1,6,2,1,2,2,5,2,3,196001,,10,1,2,1,1,4,3,3,2,3,3,2,3,3,3,,3,2,2,1,2,2,3,1,2,1,,,,2,1,,,1,,,,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6104,1,,1,1,1958,61,5,3,1,1,1,1,3,1,1,3,3,2,1,5,1,1,2,4,5,2,3,196001,,10,1,,1,1,4,2,3,2,2,2,1,2,,3,1,3,2,1,1,1,1,3,3,2,1,,,,1,1,1,3,1,,,,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6104,1,,2,1,1961,58,5,3,1,1,1,1,2,1,1,2,3,2,1,4,2,1,4,3,7,2,3,196001,5,10,3,1,1,1,4,3,3,2,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,1,,3,1,2,3,3,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,2,5,3,2,3202,1,,1,1,1998,21,1,1,1,1,1,1,5,2,1,0,4,2,1,5,1,2,2,2,5,2,3,196001,6,5,3,3,3,1,4,2,3,2,3,3,3,2,2,2,1,3,2,1,1,2,2,3,2,1,1,2,3,3,2,1,1,3,2,1,3,2,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6104,1,,2,1,1997,22,1,1,1,1,1,1,4,2,6,0,3,2,6,0,2,2,4,3,7,2,3,196001,,10,1,2,,1,4,3,3,2,3,2,3,3,3,3,,3,2,3,1,3,3,3,3,3,2,3,3,3,3,1,3,3,1,3,3,3,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6104,1,,2,1,1990,29,2,1,1,1,1,1,4,1,1,2,4,2,1,7,1,1,2,,5,2,,196001,,10,1,2,1,1,4,3,3,2,3,3,2,2,2,2,2,2,2,2,1,1,2,3,1,2,1,3,,,1,1,,,1,,,,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6101,1,,2,1,1976,43,3,2,1,1,1,1,5,1,1,3,2,1,1,8,1,1,2,2,4,2,3,196001,,10,2,2,1,1,4,3,3,1,1,1,2,2,2,2,1,2,1,1,1,1,1,3,1,1,1,,,,1,1,1,,1,1,1,1,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,2,5,1,1,5201,1,,1,1,1997,22,1,1,1,1,1,1,3,1,6,0,6,3,6,0,2,2,,2,3,1,0,196001,,10,4,3,3,,4,3,4,2,4,4,1,2,1,1,4,1,,1,2,2,3,4,3,1,1,2,4,2,1,1,1,,1,1,,1,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6101,1,,1,2,1966,53,4,3,2,2,2,1,2,1,1,4,3,2,1,4,2,2,3,4,6,2,3,196001,,10,1,1,1,1,4,3,3,2,3,3,3,3,,3,,3,3,,1,,3,3,1,3,1,3,,,2,1,,,1,,,,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,7,4,1,2,,1,1,1991,27,2,1,1,1,1,1,4,2,6,0,6,3,3,1,2,2,2,2,6,2,1,218012,5,8,1,1,1,1,4,3,3,2,2,2,3,3,3,3,3,3,3,2,2,2,1,3,2,3,3,3,3,2,2,2,1,1,1,1,1,1,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,7,4,1,2,,2,1,1962,55,5,3,1,1,1,1,3,1,1,1,3,2,1,6,2,1,3,4,4,2,1,218012,5,2,1,1,2,1,4,3,3,1,1,1,4,4,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,3,1,2,1,1,2,1,2,2,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,7,4,1,1,,1,2,1994,23,1,1,1,1,1,1,5,2,6,0,6,3,6,0,,2,1,4,7,2,0,218012,5,9,4,2,3,1,4,1,3,2,3,3,1,3,1,1,2,3,3,2,2,2,2,3,1,1,3,3,3,3,3,3,2,3,2,3,2,2,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,7,4,4,1,,1,1,1980,37,3,2,1,1,1,1,1,1,6,0,3,2,3,4,2,1,4,3,5,2,1,218012,5,7,2,2,2,1,4,1,1,2,2,1,4,1,2,2,2,3,3,1,1,1,1,4,2,4,4,4,4,4,3,3,2,3,3,2,4,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,7,4,5,1,,2,1,1975,42,3,2,1,1,1,1,7,1,6,0,1,1,3,4,,2,2,3,4,2,1,218012,5,10,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,1,3,3,3,3,3,3,3,3,3,1,3,1,1,3,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,4,4,2,8,1,,2,2,1965,53,4,3,1,1,1,1,3,2,3,1,3,2,5,,3,2,4,1,1,1,2,218012,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,5,2,1,12,2,,2,1,1958,59,5,3,1,1,1,1,5,1,1,3,1,1,3,4,2,1,2,3,3,1,1,218012,5,8,3,1,2,1,4,4,4,3,2,2,4,4,1,1,2,4,4,3,3,3,1,2,3,3,3,3,3,3,2,3,2,2,2,2,3,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,3,4,2,13,1,,1,1,1954,63,5,3,1,1,1,1,2,1,3,4,3,2,2,6,2,1,4,3,4,2,8,218012,5,3,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,3,3,2,20,2,,2,2,1985,32,2,2,1,1,1,1,4,1,2,2,3,2,5,,,2,2,3,4,2,2,218012,7,7,1,2,3,1,4,2,2,1,1,1,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,7,4,23,1,,1,2,1972,46,4,2,1,1,1,1,7,3,1,4,2,1,5,0,,2,3,3,5,2,1,218012,,10,3,1,2,1,3,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,2,1,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,3,5,3,30,1,,2,1,1996,21,1,1,1,1,1,1,5,2,6,0,4,2,3,7,,2,1,4,8,3,1,218011,5,7,3,3,3,2,4,3,4,2,3,2,2,3,2,2,3,3,3,3,1,2,2,3,2,3,3,4,3,3,3,4,3,3,3,3,4,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,5,2,1,31,2,,2,2,1945,73,6,3,1,1,2,1,2,1,5,4,0,1,5,,,2,,3,1,1,2,218013,5,5,1,3,3,1,1,1,1,1,3,2,1,2,1,4,2,2,2,2,4,1,1,1,1,2,2,2,2,2,,2,2,,,,1,,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,4,2,36,1,,2,2,1954,63,5,3,1,1,1,1,5,1,1,5,1,1,2,6,1,2,2,3,5,2,1,218012,5,3,2,1,1,1,3,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,4,2,36,1,,2,1,1984,34,2,2,1,1,1,1,5,2,2,0,4,2,1,6,2,1,4,4,8,3,1,218012,,8,2,2,1,1,4,3,2,2,2,2,4,2,2,2,3,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,3,3,3,2,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,3,4,2,38,1,,2,1,1968,49,4,2,1,1,1,1,8,3,2,3,1,1,2,7,,2,1,3,4,2,1,218012,5,6,4,1,3,1,2,1,2,1,1,1,4,4,4,4,4,4,2,4,2,2,2,3,1,2,3,4,4,4,4,2,2,3,2,2,4,4,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,3,4,2,38,1,,1,1,1959,58,5,3,1,1,1,1,1,1,6,4,1,1,3,4,,,4,3,3,1,0,218012,5,6,1,1,1,1,4,2,2,1,2,2,3,4,2,2,2,2,2,2,1,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,3,5,3,39,1,,2,1,1987,30,2,2,1,1,1,1,4,1,2,1,2,1,1,9,2,1,4,2,3,1,,218012,6,1,2,1,1,1,3,2,3,1,1,2,4,4,2,3,1,3,3,1,1,1,1,3,1,2,3,4,4,4,2,2,2,2,2,2,4,2,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,7,4,42,2,,1,2,1970,48,4,2,1,1,1,1,1,1,3,3,5,3,3,3,3,1,2,2,4,2,8,218012,,,1,1,1,1,2,1,2,1,1,1,1,1,2,3,1,1,2,1,1,1,1,2,1,2,1,2,1,2,,1,1,1,1,1,3,2,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,3,5,3,44,1,,2,2,1968,49,4,2,1,1,1,1,6,1,4,3,3,2,7,0,,2,3,3,5,2,0,218012,,6,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,3,1,2,3,2,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,3,5,3,45,2,,2,1,1991,27,2,1,1,1,1,1,8,2,6,0,6,3,1,1,1,2,2,3,7,2,0,218013,6,5,3,2,1,1,4,2,3,1,2,2,2,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,3,5,3,46,1,,1,1,1977,41,3,2,1,1,1,1,8,1,1,2,6,3,1,1,2,1,2,1,3,1,1,218011,6,3,3,1,2,1,4,3,3,2,3,3,3,3,2,2,2,3,3,3,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,3,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,3,5,3,47,2,,1,2,1966,51,4,3,1,1,1,1,3,1,1,3,2,1,7,0,,2,4,1,3,1,1,218012,3,9,3,1,3,1,4,1,1,1,1,1,4,1,1,1,1,2,2,1,1,1,1,4,2,2,1,3,3,2,,1,2,1,1,4,2,1,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,3,7,4,50,1,,1,2,1981,36,3,2,1,1,1,1,5,1,1,3,3,2,1,3,2,2,4,3,4,2,8,218012,5,1,1,2,2,1,3,2,1,1,1,1,3,2,2,2,2,2,2,1,1,1,1,3,2,2,2,3,3,3,2,2,2,2,2,2,3,2,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,8,5,53,1,,1,2,1983,35,3,2,1,1,1,1,4,1,2,2,3,2,5,0,,2,2,2,3,1,1,218012,,2,1,1,1,1,4,3,2,1,3,1,3,2,2,3,1,3,3,3,1,1,1,3,1,3,3,3,3,3,1,,,,,,3,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,8,5,60,2,,1,2,1986,31,2,2,1,1,1,1,3,1,2,1,4,2,3,3,,2,2,2,10,3,0,218012,10,10,2,2,1,1,1,2,3,1,1,1,1,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,8,5,61,1,,1,1,1995,22,1,1,1,1,1,1,4,2,6,0,6,3,2,4,,2,2,3,4,2,0,218012,5,6,2,2,2,1,4,2,3,1,2,2,3,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,,1,3,2,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,8,5,66,1,,1,1,1967,51,4,3,1,1,1,1,3,1,1,1,3,2,7,8,1,2,2,2,2,1,2,218012,5,2,2,1,3,2,3,2,2,2,3,3,3,3,1,1,2,2,1,1,1,1,1,3,1,3,3,3,3,2,1,2,1,2,2,2,2,2,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,8,5,67,1,,1,1,1972,45,4,2,1,1,1,1,1,1,6,0,3,2,3,6,2,1,4,1,5,2,0,218011,5,10,3,2,2,1,4,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,8,5,67,1,,1,1,1955,62,5,3,1,1,1,1,11,1,1,3,3,2,3,4,,1,4,1,5,2,1,218012,2,2,2,1,3,1,4,2,2,1,1,1,3,3,2,2,1,2,1,3,1,2,1,3,2,2,1,3,2,3,2,2,3,2,3,3,4,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,8,5,69,2,,1,1,1977,40,3,2,1,1,1,1,4,1,1,1,3,2,3,4,,2,3,3,4,2,1,218012,2,4,1,1,3,1,4,2,1,1,1,1,4,3,2,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,,1,1,1,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,8,5,71,1,,1,2,1949,68,6,3,1,1,1,1,3,1,5,1,3,2,7,,,2,4,3,1,1,1,218012,1,1,3,2,3,1,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,8,5,72,1,,2,1,2000,18,1,1,1,1,1,1,3,2,6,0,3,2,6,4,,2,2,3,5,2,1,218012,5,5,1,1,1,1,4,2,2,2,2,1,4,4,2,2,1,2,1,1,1,1,1,,1,1,2,1,1,1,1,1,,1,1,2,1,2,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,3,7,4,75,2,,2,1,1952,66,6,3,1,1,1,1,4,1,1,1,0,1,4,9,2,2,2,3,1,1,1,218012,10,1,2,1,1,1,2,2,1,1,4,1,4,4,1,2,1,2,1,1,1,1,1,4,2,2,3,4,4,3,1,1,1,1,1,1,3,1,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,3,5,3,80,1,,2,1,1974,43,3,2,1,1,1,1,4,1,2,3,1,1,2,8,,1,2,3,2,1,0,218012,5,2,4,1,1,1,2,2,2,2,2,2,4,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,2,2,2,2,2,2,,2,2,2,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,3,5,3,80,1,,1,2,1985,32,2,2,1,1,1,1,7,2,2,3,6,3,2,3,1,2,4,1,1,1,0,218012,5,5,2,1,3,1,2,2,2,1,2,1,2,3,1,3,1,1,1,1,1,3,1,3,1,1,3,4,1,1,1,3,4,1,,3,2,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,5,4,2,82,1,,1,1,1949,68,6,3,1,1,1,1,4,1,1,4,1,1,2,6,,2,4,1,1,1,1,218012,1,1,1,2,3,1,4,2,1,1,4,1,4,4,1,1,2,4,3,1,1,1,1,3,3,4,3,1,4,2,1,3,2,2,2,2,2,2,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,5,4,2,82,1,,2,2,1959,59,5,3,1,1,1,1,2,1,1,5,1,1,5,,,2,3,1,1,1,2,218012,,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,7,4,85,1,,1,1,1989,28,2,1,1,1,1,1,8,2,6,0,4,2,3,6,2,1,4,3,2,1,1,218012,5,1,1,1,1,1,4,3,2,4,2,4,3,3,1,1,1,1,2,2,1,2,1,4,3,4,3,2,2,2,2,3,3,3,3,3,4,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,3,5,3,88,1,,2,1,1958,59,5,3,1,1,1,1,2,1,1,2,6,3,3,1,2,2,1,3,4,2,0,218012,,4,3,3,3,1,4,2,3,1,1,3,2,2,2,2,3,2,3,2,2,1,1,3,3,3,2,2,2,2,3,2,1,1,3,2,3,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,2,7,4,89,1,,1,2,1993,24,1,1,1,1,1,1,10,2,6,0,6,3,7,5,2,2,1,3,5,2,,218012,5,5,1,3,2,1,3,2,2,1,1,1,2,2,2,2,,3,2,2,,2,2,3,3,2,2,4,3,1,,2,2,,,2,3,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,5,1,1,92,1,,1,1,1982,35,3,2,1,1,1,1,6,2,1,3,6,3,1,2,1,1,1,3,5,2,1,218012,5,5,3,3,1,1,4,3,3,2,2,2,3,4,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,5,2,1,95,1,,1,1,1963,54,4,3,1,1,1,1,4,1,2,2,2,1,3,9,,1,4,1,1,1,1,218012,5,1,2,3,3,1,4,2,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,3,5,3,100,1,,1,1,1988,29,2,1,1,1,1,1,7,1,6,0,5,3,7,,,2,2,4,5,2,2,218012,5,,1,1,1,1,4,3,3,2,3,3,4,4,2,3,3,3,2,2,1,2,2,3,1,1,2,3,3,3,2,2,2,2,,2,4,4,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,4,5,3,103,1,,2,2,1989,29,2,1,1,1,1,1,2,1,2,1,2,1,5,,,2,3,4,2,1,1,218012,10,1,2,2,1,1,2,2,2,1,2,1,1,2,2,3,1,2,2,3,1,2,1,3,1,1,1,2,3,3,1,1,1,1,1,3,2,1,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,4,5,3,103,1,,2,1,1995,22,1,1,1,1,1,1,4,2,6,0,5,3,7,,,2,4,3,6,2,1,218012,5,1,4,2,3,1,3,3,3,1,1,2,3,3,1,1,3,3,2,1,1,1,1,2,1,3,3,3,2,3,2,3,2,3,2,2,3,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,5,3,2,104,1,,2,2,1979,39,3,2,1,1,1,1,2,2,4,2,1,1,3,4,2,1,1,4,5,2,0,218012,5,2,1,2,1,1,4,3,3,1,2,1,4,3,3,3,3,3,2,2,2,2,2,4,1,3,3,4,4,4,3,3,3,3,3,3,4,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,1,3,5,3,105,1,,2,2,1984,33,2,2,1,1,1,1,4,1,1,2,3,2,7,,,2,1,4,6,2,2,218011,5,6,2,1,1,1,4,3,3,2,2,2,3,4,1,1,1,1,1,1,1,1,1,2,1,3,3,3,3,2,3,3,3,3,3,3,3,3,,,,,,,,,,,,1,1,1
2,7,2018,218,ECU,2182018,1.0,0.8333333,2,5,1,1,107,1,,2,1,1977,41,3,2,1,1,1,1,4,2,6,1,6,3,3,9,2,2,4,3,1,1,0,218012,5,5,4,3,2,1,2,1,3,1,1,1,2,3,3,2,3,2,2,3,2,4,1,4,2,2,3,4,4,3,2,4,2,3,2,3,4,3,,,,,,,,,,,,1,1,1
