id,org_question_number,question_text,institution,statement,scale_1,scale_2,scale_3,scale_4,scale_5,reverse_coded,section
trust_12,Q75,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Universities,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_13,Q76,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Elections,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_14,Q77,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Major companies,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_15,Q78,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Environmental organizations,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_16,Q79,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?","Women's organizations",,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_17,Q80,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Charitable or humanitarian organizations,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_18,Q81,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Banks,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_19,Q82,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The International Monetary Fund (IMF),,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_20,Q83,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The International Criminal Court (ICC),,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_21,Q84,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The North Atlantic Treaty Organization (NATO),,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_22,Q85,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The United Nations (UN),,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_23,Q86,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The World Bank,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_24,Q87,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The World Health Organization (WHO),,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_25,Q88,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The World Trade Organization (WTO),,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_26,Q89,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The European Union (EU),,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_27,Q292,"Do you agree or disagree with the following statement?",,A. I am unsure whether to believe most politicians,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,1,wvs_politicians
trust_28,Q292,"Do you agree or disagree with the following statement?",,B. I am usually cautious about trusting politicians,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,1,wvs_politicians
trust_29,Q292,"Do you agree or disagree with the following statement?",,C. In general politicians are open and honest about their decisions and actions,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,0,wvs_politicians
trust_30,Q292,"Do you agree or disagree with the following statement?",,D. The government usually does the right thing for the people,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,0,wvs_politicians
trust_31,Q292,"Do you agree or disagree with the following statement?",,E. Government information provided by the government is generally unreliable,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,1,wvs_politicians
trust_32,Q292,"Do you agree or disagree with the following statement?",,F. It is best to be cautious about trusting the government,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,1,wvs_politicians
trust_33,Q292,"Do you agree or disagree with the following statement?",,G. Most politicians are honest and truthful,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,0,wvs_politicians
trust_34,Q292,"Do you agree or disagree with the following statement?",,H. People in government generally show poor judgement in making decisions,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,1,wvs_politicians
trust_35,Q292,"Do you agree or disagree with the following statement?",,I. Politicians are often incompetent and ineffective,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,1,wvs_politicians
trust_36,Q292,"Do you agree or disagree with the following statement?",,K. Politicians often put country above their personal interests,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,0,wvs_politicians
trust_37,Q292,"Do you agree or disagree with the following statement?",,O. The government usually has good intentions,Disagree strongly,Disagree,Neither agree nor disagree,Agree,Agree strongly,0,wvs_politicians
social_1,Q57,"Generally speaking, would you say that most people can be trusted or that you need to be very careful in dealing with people?",,,"Most people can be trusted",Need to be very careful,,,,0,wvs_social_general
social_2,Q58,"I'd like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?",Your family,,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,,0,wvs_social_groups
social_3,Q59,"I'd like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?",Your neighborhood,,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,,0,wvs_social_groups
social_4,Q60,"I'd like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?",People you know personally,,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,,0,wvs_social_groups
social_5,Q61,"I'd like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?",People you meet for the first time,,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,,0,wvs_social_groups
social_6,Q62,"I'd like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?",People of another religion,,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,,0,wvs_social_groups
social_7,Q63,"I'd like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?",People of another nationality,,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,,0,wvs_social_groups
role_1,CUSTOM,"I am going to name a type of person. Could you tell me how much you trust them?",A doctor,,A great deal,Quite a lot,Not very much,None at all,,0,social_role_trust
role_2,CUSTOM,"I am going to name a type of person. Could you tell me how much you trust them?",A teacher,,A great deal,Quite a lot,Not very much,None at all,,0,social_role_trust
role_3,CUSTOM,"I am going to name a type of person. Could you tell me how much you trust them?",A restaurant manager,,A great deal,Quite a lot,Not very much,None at all,,0,social_role_trust
role_4,CUSTOM,"I am going to name a type of person. Could you tell me how much you trust them?",Your neighbor,,A great deal,Quite a lot,Not very much,None at all,,0,social_role_trust
role_5,CUSTOM,"I am going to name a type of person. Could you tell me how much you trust them?",A stranger asking for directions,,A great deal,Quite a lot,Not very much,None at all,,0,social_role_trust
role_6,CUSTOM,"I am going to name a type of person. Could you tell me how much you trust them?",People in general,,A great deal,Quite a lot,Not very much,None at all,,0,social_role_trust
